Brand,Mileage,EngineV,Engine Type,Registration,Model,Car_Age,Mileage_per_Year,log_price,is_luxury,Luxury_EngineV_Interaction,Body_hatch,Body_other,Body_sedan,Body_vagon,Body_van,Original_Price
BMW,277,2.0,Petrol,yes,320,34,8.15,8.34283980427146,1,2.0,False,False,True,False,False,4200.0
Mercedes-Benz,427,2.9,Diesel,yes,Sprinter 212,26,16.42,8.974618038455112,1,2.9,False,False,False,False,True,7899.999999999996
Mercedes-Benz,358,5.0,Gas,yes,S 500,22,16.27,9.495519314209846,1,5.0,False,False,True,False,False,13300.000000000005
Audi,240,4.2,Petrol,yes,Q7,18,13.33,10.043249494911286,1,4.2,False,False,False,False,False,22999.999999999993
Toyota,120,2.0,Petrol,yes,Rav 4,14,8.57,9.814656338829511,0,0.0,False,False,False,False,False,18299.99999999998
Audi,200,2.7,Diesel,yes,A6,19,10.53,9.560997243589352,1,2.7,False,False,False,True,False,14199.999999999995
Renault,193,1.5,Diesel,yes,Megane,13,14.85,9.28720881623276,0,0.0,False,False,False,True,False,10798.999999999995
Volkswagen,212,1.8,Gas,no,Golf IV,26,8.15,7.24422751560335,0,0.0,False,True,False,False,False,1399.9999999999998
Renault,177,1.5,Diesel,yes,Megane,14,12.64,9.388486557359656,0,0.0,False,False,False,True,False,11949.999999999987
Renault,260,1.79,Petrol,yes,19,31,8.39,7.824046010856292,0,0.0,False,False,True,False,False,2499.9999999999995
Audi,165,2.7,Gas,yes,A6 Allroad,22,7.5,9.159047077588632,1,2.7,False,False,False,True,False,9499.999999999995
Volkswagen,100,1.8,Petrol,yes,Passat B6,17,5.88,9.259130536145614,0,0.0,False,False,True,False,False,10499.999999999993
Toyota,250,4.7,Gas,yes,Land Cruiser 100,24,10.42,9.680344001221918,0,0.0,False,False,False,False,False,16000.000000000002
Renault,84,1.5,Diesel,yes,Clio,13,6.46,9.0595174822416,0,0.0,True,False,False,False,False,8600.0
BMW,203,2.0,Petrol,no,318,24,8.46,8.003028666384733,1,2.0,False,True,False,False,False,2990.000000000002
Toyota,21,2.0,Petrol,yes,Rav 4,12,1.75,10.184900011974314,0,0.0,False,False,False,False,False,26500.000000000007
Audi,250,2.5,Diesel,no,A6,27,9.26,8.160518247477505,1,2.5,False,False,False,True,False,3499.9999999999995
Toyota,0,2.4,Diesel,yes,Hilux,9,0.0,10.551454296015532,0,0.0,False,True,False,False,False,38233.0
Volkswagen,132,1.4,Diesel,yes,Polo,19,6.95,8.922658299524402,0,0.0,True,False,False,False,False,7500.000000000001
Audi,225,2.4,Gas,yes,A6,27,8.33,8.824677891164198,1,2.4,False,False,True,False,False,6799.999999999999
Mitsubishi,130,2.4,Gas,yes,Outlander,19,6.84,9.259130536145614,0,0.0,False,False,False,False,False,10499.999999999993
Audi,163,4.2,Diesel,yes,A8,17,9.59,10.1226230824528,1,4.2,False,False,True,False,False,24900.000000000004
Volkswagen,151,3.0,Diesel,yes,Touareg,17,8.88,9.94270826568941,0,0.0,False,False,False,False,False,20800.000000000007
Audi,330,2.4,Petrol,yes,A6,26,12.69,8.779557455883728,1,2.4,False,False,True,False,False,6499.999999999995
Mercedes-Benz,171,2.2,Other,no,Vito,14,12.21,9.515321941506024,1,2.2,False,True,False,False,False,13565.999999999982
Mitsubishi,65,1.3,Petrol,yes,Colt,15,4.33,9.047821442478408,0,0.0,True,False,False,False,False,8500.000000000005
Audi,1,2.3,Gas,yes,100,36,0.03,7.972466015974565,1,2.3,False,False,True,False,False,2899.9999999999977
BMW,72,3.0,Petrol,yes,Z4,18,4.0,9.975808214115752,1,3.0,False,True,False,False,False,21499.999999999945
Mitsubishi,87,3.8,Gas,yes,Pajero Wagon,17,5.12,9.792555991828849,0,0.0,False,False,False,False,False,17900.00000000004
BMW,160,4.8,Gas,yes,X5,17,9.41,10.257659366256744,1,4.8,False,False,False,False,False,28500.00000000007
Volkswagen,160,1.9,Diesel,yes,Caddy,16,10.0,9.190137664658664,0,0.0,False,False,False,False,True,9800.000000000007
Toyota,147,2.4,Gas,yes,Camry,19,7.74,9.581903928408666,0,0.0,False,False,True,False,False,14500.000000000004
BMW,300,2.8,Petrol,yes,528,29,10.34,8.699514748210191,1,2.8,False,False,True,False,False,5999.999999999995
BMW,1,2.5,Diesel,yes,X5,9,0.11,11.119882876860622,1,2.5,False,False,False,False,False,67500.00000000004
Audi,14,1.8,Petrol,yes,TT,11,1.27,10.431170293368542,1,1.8,False,True,False,False,False,33900.0
Mercedes-Benz,230,2.15,Diesel,yes,Vito,21,10.95,9.190137664658664,1,2.15,False,False,False,False,True,9800.000000000007
Mercedes-Benz,86,5.5,Petrol,yes,G 55 AMG,16,5.38,11.05089000537367,1,5.5,False,False,False,False,False,63000.00000000004
BMW,326,2.8,Petrol,yes,528,27,12.07,8.948975607841776,1,2.8,False,False,True,False,False,7700.0000000000055
Mercedes-Benz,30,2.2,Diesel,yes,Vito,19,1.58,9.169518377455928,1,2.2,False,False,False,False,True,9600.000000000004
Toyota,181,2.4,Petrol,yes,Camry,17,10.65,9.457200449907708,0,0.0,False,False,True,False,False,12799.99999999999
BMW,80,3.0,Petrol,yes,X6,13,6.15,10.621327345686446,1,3.0,False,False,False,False,False,41000.00000000003
BMW,231,2.5,Petrol,yes,525,35,6.6,8.216088098632316,1,2.5,False,False,True,False,False,3699.9999999999995
